id,titulo,argumento,link_libreria
11,"EL FIEL RUSLAN","Ruslán es un perro guardián en un campo de trabajo del Gulag soviético. De la noche a la mañana él y sus compañeros ven cómo los campos se vacían de prisioneros y cómo sus amos, los guar­dias, a los que aman incondicionalmente, los abandonan a su suerte; durante las semanas posteriores Ruslán deberá adaptarse a su nueva situación. Vladímov, uno de los escritores rusos más destacados de la segunda mitad del siglo XX, utiliza el punto de vista del perro para explicar la inhumanidad del sistema soviético. Y lo hace partien­do de una situación que se produjo en la Unión Soviética a finales de los años cincuenta, cuando los cambios introducidos por Nikita Jruschov permitieron la liberación de millones de prisione­ros y el desmantelamiento de parte del sistema soviético de cam­pos de trabajo. Una primera versión de El fiel Ruslán titulada Los perros circuló clandestinamente en la urss durante los años sesenta. Vladímov continuó trabajando en la novela hasta 1974, cuando consiguió sacar el manuscrito del país; un año más tarde se pubLIcó en Alemania. Está considerada como una de las mejores nove­las rusas de la segunda mitad del siglo XX.",http://www.libreriacuesta.com/detalle/default.asp?mat=6188636
12,"TRES ACTOS Y DOS PARTES","Silvano Masoero, alias Silver, es un púgil retirado, y también ex presidiario, que pese a haber pagado su deuda con la sociedad por un combate amañado, tal vez todavía no lo haya hecho con su propia conciencia.Tampoco en el plano emocional las heridas del pasado le permiten superar su viudedad e iniciar una nueva relación sentimental. Ahora, con sesenta años, es utillero de un equipo de fútbol de Segunda División que se enfrenta, en la última jornada de liga, a un partido crucial para lograr el ascenso de categoría. En él juega como estrella emergente su hijo Roberto; un hijo que, como él, se verá tentado por el dinero fácil de las apuestas ilegales. Sólo faltan unas horas para el partido, durante las cuales el protagonista va desgranando los episodios que componen una vida de errores y derrotas. Su voz es parte de su personalidad, por eso se expresa con un estilo seco, directo, contundente como los golpes recibidos y encajados, con notas de humor amargo y de ternura que van ganándose paulatinamente a quien lo escucha y lo acompañará hasta esa difícil decisión que lleva a un sorprendente desenlace. Tras vender quince millones de ejemplares en todo el mundo con sus anteriores novelas (desde Vo mato hasta Apuntes de un vendedor de mujeres), Giorgio Faletti apuesta ahora por una novela breve e intensa, capaz de esbozar diversas melodías que se entrelazan con habilidad, como son la responsabilidad moral del individuo, la corrupción imperante en el fútbol como microcosmos de la sociedad, la problemática de una juventud sin futuro, el eterno conflicto generacional o la aparentemente apacible vida de provincias.",http://www.libreriacuesta.com/detalle/default.asp?mat=6188928
13,"ALBUM OFICIAL MUNDIAL BRASIL 2014","Bienvenido al mundo de los coleccionistas de stickers. El álbum oficial contiene todos los stickers. Los stickers se venden en sobres disponibles en todos los puntos de venta autorizados. Cada sobre contiene cinco stickers, y cada sticker se pega en una cuadra del álbum.",http://www.libreriacuesta.com/detalle/default.asp?mat=6187884
14,"SH. EL MISTERIO DEL ESPIRITU INVOCADO","En las sórdidas calles del Londres Victoriano, el maestro detective Sherlock Hoimes y sus jovencísimos ayudantes, los Irregulares de Baker Street, deben resolver otro enrevesado crimen. Cuando una bella joven les pide ayuda para investigar la extraña y repentina muerte de su tía en una sesión de espiritismo, sus aventuras los conducen a una mansión embrujada y a un joven médium que pretende causar sensación con sus extraordinarios poderes. Por primera vez, los Irregulares deben enfrentarse al inquietante mundo de lo sobrenatural. ¿O será tan solo otro submundo más de pillos y estafadores, de ladrones y asesinos?",http://www.libreriacuesta.com/detalle/default.asp?mat=6186294
15,"EL FIN DEL PODER","El poder está cambiando de manos: de grandes ejércitos disci­plinados a caóticas bandas de insurgentes; de gigantescas cor­poraciones a ágiles emprendedores; de los palacios presiden-ales a las plazas públicas. Pero también está cambiando en sí mismo: cada vez es más difícil de ejercer y más fácil de perder. El resultado, como afirma el prestigioso analista internacional Moisés Naím, es que los líderes actuales tienen menos poder que sus antecesores, y que el potencial para que ocurran cam­bios repentinos y radicales sea mayor que nunca. En El fin del poder, Naím describe la lucha entre los grandes actores antes dominantes y los nuevos micropoderes que ahora les desafían en todos los ámbitos de la actividad humana. La energía icono­clasta de los micropoderes puede derrocar dictadores, acabar con los monopolios y abrir nuevas e increíbles oportunidades, pero también puede conducir al caos y la parálisis. A partir de estudios nuevos y provocadores y de su experiencia en asuntos internacionales, Naím explica cómo el fin del poder está remo delando el mundo en que vivimos.",http://www.libreriacuesta.com/detalle/default.asp?mat=6183401
16,"UN NUEVO IMPULSO","¿Qué cualidades distinguen a un buen líder? En el mundo empresarial abundan los ejecutivos brillantes, hombres y mujeres que a lo largo de sus carreras han demostrado poseer inteligencia, carisma y espíritu competitivo. Sin embargo, sólo una minoría conseguirá llegar a lo más alto. La respuesta está en ciertos hábitos de conducta que interfieren de forma decisiva en nuestro camino hacia el éxito. ¿Sabemos escuchar? ¿Somos capaces de disculparnos siempre que es necesario? ¿Alguna vez nos hemos atribuido un mérito que no nos correspondía al cien por cien...? Las verdades duelen, sobre todo cuando señalan comportamientos evidentes para todos excepto para nosotros mismos. De ahila importancia de este libro: Marshall Goldsmith nos ayuda a identificar cada uno de estos patrones de conducta y nos ofrece soluciones prácticas para superarlos.",http://www.libreriacuesta.com/detalle/default.asp?mat=6189163
17,"LA CRISIS MUNDIAL (1911-1918) (BOL)","Winston Churchill no fue únicamente un gran líder político y militar, también fue un cultivado historiador y un prolífico escritor galardonado con el Premio Nobel de Literatura en el año 1953. A lo largo de estas páginas narra de forma magistral los dramáticos detalles que, desde 1911, empezaron a forjar un conflicto a escala mundial y que, por último, desencadenaron la llamada Gran Guerra. Asimismo, describe los inicios del concepto bélico moderno dominado por la alta ingeniería, las trincheras, el terror de los civiles y los avances científicos. Este libro perdurará como el gran clásico de la historia de la Primera Guerra Mundial que es. Una lectura esencial para todos aquellos que deseen entender mejor el siglo XX.",http://www.libreriacuesta.com/detalle/default.asp?mat=6187691
18,TUCIDIDES,"Tucídices (Atenas, ¿460 a. C? -Tracia, ¿396 a. C.?), soldado e historiador, dio un espectacular salto a la modernidad al negarse a buscar explicaciones para el comportamiento humano en la voluntad de los dioses, o in­cluso en la voluntad de las personas, convirtiéndose en el primer escritor en explicar una historia desde la propia pers­pectiva humana. Donald Kagan, uno de los estudiosos de la Grecia clásica más destacados en todo el mundo, ilumina al gran historia­dor y a su obra dentro de su propio contexto histórico, pero considerándolo, a la vez, un historiador revisionista. Kagan explica cómo La guerra del Peloponeso difiere cuantitativa­mente de otras obras escritas por contemporáneos del autor, y cómo y por qué permanece aún hoy en día como el primer texto moderno de historia política. Un texto que ha influen­ciado espectacularmente en la forma en que la historia ha sido concebida desde entonces, y, así, la grandeza y el poder de La guerra del Peloponeso -y de su autor,Tucídides- ha cau­tivado por igual a lectores, historiadores y estadistas duran­te dos mil años.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190269
19,"EL NUEVO ORDEN AMERICANO.TEXTOS","El mundo se dispone a ser gobernado según los principios de un nuevo orden americano. Las guerras preventivas y el unilateralismo que predica, ¿responden a simples decisiones presidenciales o, por el contrario, son fruto de una estrategia de base ideológica? En esta obra se recoge una esmerada selección de los textos básicos - ideológicos, políticos y estratégicos - de ese nuevo orden, de la política exterior estadounidense y de la ""paz americana"": la seguridad versus libertad, los discursos del Presidente Bush, los documentos más significativos de los pensadores neoconservadores, textos normativos, gubernamentales y doctrinales, que desvelan con claridad los valores, los principios y la estrategia de la moderna era americana. Tanto para los críticos de este nuevo orden, como para sus defensores, resulta de imprescindible lectura esta obra, gracias a la cual podrán extraer sus propias conclusiones desde el conocimiento directo de sus fuentes y fundamentos básicos.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190318
20,"DIARIO DE LA GRAN GUERRA","PÁGINAS TESTIMONIALES DE un jovencísimo aprendiz de poeta, que se refugió entre libros y cartas para sobrellevar las penurias de una vida en las trincheras de la Primera Guerra Mundial. Gerald Brenan llegó al frente creyendo que sería una breve aventura, una profunda experiencia vital y salió convencido del desastre que había vivido. Recuerdos del hispanista inglés que muestran el fin de la inocencia, el nacimiento de un escritor, y la búsqueda desesperada por encontrar su espacio en el universo: Y este es el momento más importante, hago recuento de mi vida y veo sus posibilidades mientras miro hacia Asia, Africa y España. El N EL VERANO DE 1914, nuestto verauo perdido lo llamaron, toda una generación de jóvenes, rebosante de suficiencia modernista, -/observaba el futuro con confianza, creía en las funciones estéticas e instructivas del arte y en las bendiciones del desarrollo tecnológico... Pocos podían imaginar lo que iba a suceder. Carlos Pranger, de la Introducción",http://www.libreriacuesta.com/detalle/default.asp?mat=6190344
21,"EL DERECHO AL OLVIDO Y A LA INTIMIDAD EN","He leído y acepto las condiciones de uso. Marco rápida­mente la casilla para poder disfrutar de los servicios gratuitos que ofrece determinada aplicación, web o plataforma on Une: escribir correos, subir fotos, saber más de mis ""amigos"", compartir los lugares a los que viajo y la música que escucho, que la gente sepa todo lo que ""me gusta""... ¡Y aparezco en Google! Mi perfil deja claro quién soy: sexo, fecha de naci­miento, ubicación, formación, gustos musicales, mi situación sentimental y hasta mi ideología política. Todos ponemos nuestra información a disposición de multinacionales como Facebook o Google, que la convierten en su producto: cuanto más digamos de nosotros, más fácil será venderlo. Además, esta información será visible casi por cualquiera, por lo que será fácil que perdamos el control sobre nuestra privacidad y nuestra reputación. A veces ni siquiera hemos elegido la información que se muestra de nosotros en la Red, quizá hasta sea mentira, pero ahí está, no la podemos borrar con un simple clic y en algunos casos se convierte en una pesadilla. ¿Qué podemos hacer para defender nuestros derechos? Alejandro Touriño, abogado experto en Derecho en Internet, nos recuerda que la Red no se rige por la ley de la selva, sino que leyes como las que regulan el derecho al olvido, a la intimidad y el honor deben aplicarse al entorno virtual. Por ahora, lo principal es que los usuarios tomemos conciencia de nuestra actividad on Une. Este libro permite conocer en profundidad a qué nos enfrentamos en Internet, y nos ofrece consejos prácticos para evitar correr riesgos innecesarios y para saber qué hacer ante casos frecuentes.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190436
22,"VASQUES Y CIA","Además de uno de los hitos literarios del siglo XX, Fernando Pessoa nos dejó con Libro del desasosiego un bosque de fragmentos tan atomizado como susceptible de descabalar­se en una sucesión de secciones. Esta meditada selección tira de uno de sus muchos hilos, una especie de novela está­tica, en la que podemos encontrar al Pessoa más desnudo y nítido. Hemos reunido sus páginas en torno a la oficina-uni­verso de Rúa de Douradores, Vasques & Cía., las que acaso hayan cuajado con mayor éxito entre los lectores de esta prodigiosa obra. Aluden a la propia experiencia personal del Pessoa más maduro, y presentan como ninguna otra esa observación aceradamente lúcida de la existencia humana. Este recoleto y anodino mundo de escribientes, verduleras, mozos de almacén, jefes, clientes, libros de registros, mesas, escaparates, tormentas, tinteros, moscas, barberos y venta­nas, se yergue milagrosamente como una Humana Comedia de trazos sobrios y limitados, que busca su exacta medida. El Libro del desasosiego que hoy disfrutamos no es una obra construida y acabada por su propio artífice. No nos queda más que aceptar el libro tal cual lo disfrutamos, pero tam­bién rebelarnos ante él. En cierto modo es lo que hemos he­cho con esta propuesta experimental, quizás herética, que pretende convertirse en una de las posibles ventanas para adentrarse en el universo pessoano y, más concretamente, en el siempre fascinante, pero a ratos abrupto, Libro del de­sasosiego. La añadidura de! largo poema Tabaquería (Es­tanco), considerado una de las cimas de la poesía europea del siglo XX, obedece a su claro entroncamiento con la ico­nografía del desasosiego y con mucho de lo que pudiéramos percibir en el intramundo de Soares.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190465
23,"EL CORDON UMBILICAL","ADENTRARSE EN la personalidad y en la producción artística de Jean Cocteau (Maisons Lafitte 1889 - Milly-la-Forét 1963) signi­fica vivir dentro de un sueño que, de pronto, se convierte en realidad. Él mismo se definió: soy la mentira que dice siempre la verdad. El tra­bajo fue el verdadero opio de Jean Cocteau, y su secreto artístico, pe­sado y grave, continúa dormitando en una recámara de difícil acceso. Injustamente acusado de diletante, detrás del cínico poseur se percibe el semblante sufriente de un poeta trágico cuyo arte poliédrico está conectado con la misma esencia. Este año 2013 se cumple el cincuenta aniversario de la muerte del Príncipe de los Poetas, valga su onomás­tica para hacer aún más relevante la edición de Le Cordón ombilical, redactado en Marbella en 1961, donde Cocteau efectúa comentarios fulminantes de figuras como Picasso, Diaghilev, Stravinsky, Unamu-no, Chaplin, Jean Marais, Panamá Al Brown, Edith Piaf, entre otros, y sobre todo, donde define a nuestro país como un poeta y reflexiona sobre el flamenco y los españoles. ALFREDO TAJAN El cordón umbilical, un diario agónico.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190472
24,"CORRESPONDENCIA ( GORKI / CHEJOV )","Chejov y Gorki: Antón Chejov (1860-1904) es sin duda una de las figuras literarias más influyentes de la posmodernidad. Su sensibilidad artística ha dejado tras de sí una producción teatral que ha marcado la escena del siglo XX, así como un legado de narraciones que se engrandece con el tiempo. Por su parte, Maxim Gorki (1868-1936) es uno de esos claros ejemplos de implicación entre arte y realidad; un hombre de acción que curtió su experiencia a base de oficios diversos, largos viajes y penurias de toda índole, bagaje que se refleja­ría a la perfección en sus personajes y ambientes literarios, fiel correlato de una época convulsa. Como señala Rubén Pujante Corbalán en el postfacio, cuando Gorki y Chejov inician su correspondencia, en 1898, Chejov es ya un reconocido escritor y Gorki comienza sólo a afianzar su producción literaria. Se enta­bla así una relación semejante a la de un maestro con su discípulo, una suerte de diálogo de aprendizaje que sus cartas reflejan a la perfección. Editorial Funambulista publica ahora por primera vez en español la correspon­dencia entre ambos escritores, una recopilación que es el testimonio de una amistad que aumenta y se fortalece con el devenir de sus protagonistas, una referencia in­eludible sobre sus autores, sus obras y su tiempo.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190487
25,"EL DUENDE DEL HOGAR","Con motivo de la celebración de los trescientos años de reinado de los Romanóv se preparó un volumen que celebrase su ascenso al poder. Al preguntar al Zar Nicolás II qué figura de la literatura contemporánea quería que apareciera, él respondió sin dudarlo: ¡Teffi! ¡Solo ella! Una de las autoras más leídas de Rusia, sus piezas satíricas y humorísticas se han convertido en el paradigma de la visión nostálgica de la Rusia pre-revolucionaria.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190512
26,"EL PRIMER AMOR","Un adolescente de dieciséis años veranea en las afueras de Moscú con su joven y atractivo padre y su envilecida madre. La casa de al lado es alquilada por una princesa caída en desgracia y su hija, la misteriosa y encantadora Zinaída, de la que el joven se enamora perdidamente. Retrato sublime de la familia y la sociedad elegante de la Rusia pre-revolucionaria, canto a la juventud. Primer amor (1860) es una de las obras más autobiográficas de Turguénev, maestro en capturar los procesos mentales y las emociones humanas. Narrada en primera persona, muestra de forma brillante el desarrollo de la fascinación y la infatuación del amor, revelando sus decepciones y alegrías 1 con la sensibilidad única del autor de Padres e hijos (1862).",http://www.libreriacuesta.com/detalle/default.asp?mat=6190517
27,SALMO,"Todas las noches oigo la misma conversación: ¿Dónde has estado?. En la estación Nikoláyevski. ¡Mentira! ¡Te lo juro! ¡Mentira! Al cabo de un minuto, otra vez: ¿Dónde has estado?. En la estac... ¡Mentira! Al cabo de media hora: ¿Dónde has estado?. En casa de Ania. ¡¡¡Mentira!!! Los relatos de Bulgákov ofrecen al lector más sobre la vida soviética que una docena de tratados de política o sociología. Isaac Bashevis Singer",http://www.libreriacuesta.com/detalle/default.asp?mat=6190535
28,"LAS VIDAS DE DUBIN","William Dubin, biógrafo de éxito de mediana edad, vive apaciblemente con su mujer en una pequeña ciudad cercana a Nueva York. Su hijastro Gerry, desertor huido a Suecia, y su hija Maud, estudiante universitaria algo perdida, se encuentran lejos de la casa familiar. Dubin estudia y escribe sobre la vida de otros (Thoreau, Twain, Lincoln) con la intención inconfesada de entender mejor la suya. Mientras trabaja en una nueva biografía, la del escandaloso escritor y poeta inglés D. H. Lawrence, su mundo se viene abajo al iniciar una relación con Fanny, una admiradora inteligente y atractiva treinta años más joven que él. El erotismo de su joven amante despierta en el biógrafo un deseo incontrolable, alimentado por una repentina y profunda nostalgia de juventud perdida. En Las vidas de Dubin Malamud, maestro de la ironía, compone un relato tragicómico sobre el matrimonio, el sexo, la literatura y el paso del tiempo.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190542
29,"MIS AÑOS EN LA RESERVA FEDERAL","Ben Bernanke, expresidente de la Reserva Federal de Estados Unidos, es uno de los personajes clave de la historia económica reciente por haber estado al frente de la Fed durante la peor crisis económica mundial desde los tiempos de la Gran Depresión de los años treinta, crisis que combatió con una política de estímulos monetarios a su jui­cio imprescindibles para reactivar la economía estadounidense. En M'is años en la Reserva Federal, Bernanke evoca su trayectoria al frente del banco central más poderoso del mundo desvelando las directrices que guiaron las actividades de la institución. Su aportación constituye un valioso enfoque para gestionar los desa­fíos económicos a los que nos estamos enfrentando actualmente. La información que aporta el autor en primera persona, a partir de una serie de con­ferencias impartidas en la Universidad George Washington, convierte esta obra en in­dispensable para quienes deseen profundizar en este periodo crítico de nuestra historia.",http://www.libreriacuesta.com/detalle/default.asp?mat=6188172
30,"DI SU NOMBRE","En 2005, el novelista y periodista Francisco Goldman se casó con una radiante y joven promesa de las letras mexicanas: Aura Estrada. Poco antes de su segundo aniversario de bodas. Aura sufrió un terrible accidente nadando en las playas de Oaxaca y murió en un hospital de la Ciudad de México. Devastado por la pérdida, y culpado por la familia de Aura de su muerte, Goldman se sumergió en una espiral de dolor, entre los remordimientos por lo que fue y el anhelo de lo que ya no sería. Di su nombre —elegido de manera unánime entre los mejores libros del año por The Guardian, Ttie New Yorl< Times, y va­rias publicaciones más— es tanto una larga carta de amor como un intento desesperado por conservar cada detalle de Aura a través de la pasión com­partida de ambos: la literatura. Francisco Goldman reconstruye en esta no­vela su historia de amor trunca, donde el amor más profundo y el dolor que ocasiona su pérdida confluyen en una excepcional síntesis, que ha conmovido a los miles de lectores que se han adentrado en el mundo compartido con tanta intensidad por estos dos personajes, que parecieran extraídos de una hermosa tragedia clásica.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190553
31,"EN EL BOSQUE","En una sociedad colonial que podría ser cualquiera y ninguna,Tom vive con su padre y sus decenas de sirvientes en la inmensa propiedad familiar que tomaran cuando llegaron los primeros colonos a esa tierra, más de cuarenta años antes. La granja es el único mundo que Tom conoce. Todo, incluidas las relaciones de dominación con sus criados, le resulta tan natural como inevitable. Por eso, cuando escucha en la radio un discurso incendiario aren­gando a los nativos en contra del opresor blanco apenas entiende las pala­bras, le suenan a tonterías guturales. El precario equilibrio que guarda un entorno que ha empezado a cam­biar sin que tengan la capacidad de advertirlo se ve alterado con la llegada de Carine, una chica destinada a ser la esposa de Tom, con quien el padre pronto establece un feroz triángulo amoroso en un intento desesperado de aferrarse a un poder que ya no le pertenece. Al entrelazar de manera magistral el derrumbe de dos mundos, el co­lonial y el familiar, Katie Kitamura ha plasmado en su novela aquella idea de que el colonialismo es ante todo un fenómeno mental. La explosión de un volcán cubre todo de cenizas que dificultan la respiración, y tanto Tom como su padre, la chica y los criados intentan mantenerse a flote, alentados por el miedo a lo desconocido y por la incertidumbre del mundo que en­contrarán una vez que el viento haya soplado con la fuerza necesaria para llevarse las cenizas.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190554
